types,counts,probs,total_unique
Liam,20533,0.011787337667929233,14311
Noah,18708,0.01073966361913116,14311
Oliver,15141,0.008691963163206376,14311
James,12089,0.0069399077128328305,14311
Elijah,12054,0.006919815333814785,14311
William,11330,0.006504190122127221,14311
Henry,11262,0.006465153500035018,14311
Lucas,10950,0.006286044292788443,14311
Benjamin,10884,0.00624815580664013,14311
Theodore,10800,0.006199934096996821,14311
Mateo,10379,0.005958251480808334,14311
Levi,9840,0.005648828843930437,14311
Sebastian,9387,0.005388776052639737,14311
Daniel,9096,0.005221722272803989,14311
Jack,8921,0.005121260377713763,14311
Michael,8876,0.005095427318976276,14311
Alexander,8730,0.00501161339507243,14311
Owen,8575,0.004922632859421087,14311
Samuel,8401,0.004822745032302805,14311
Asher,8400,0.004822170964330861,14311
Ethan,8296,0.004762467895248669,14311
Leo,8282,0.004754430943641451,14311
Jackson,8108,0.004654543116523168,14311
Mason,8026,0.004607469542823748,14311
Ezra,7997,0.004590821571637368,14311
John,7978,0.004579914280170429,14311
Hudson,7912,0.004542025794022115,14311
Luca,7838,0.0044995447640982485,14311
Aiden,7826,0.004492655948434918,14311
Joseph,7811,0.004484044928855757,14311
David,7806,0.004481174588996035,14311
Jacob,7646,0.004389323713484971,14311
Logan,7601,0.004363490654747485,14311
Luke,7382,0.004237769768891716,14311
Julian,7295,0.004187825855332575,14311
Gabriel,7231,0.004151085505128149,14311
Grayson,7182,0.004122956174502886,14311
Wyatt,7168,0.004114919222895668,14311
Matthew,7057,0.004051197678009867,14311
Maverick,7030,0.004035697842767375,14311
Isaac,6732,0.0038646255871280185,14311
Dylan,6724,0.003860033043352465,14311
Elias,6724,0.003860033043352465,14311
Anthony,6588,0.003781959799168061,14311
Thomas,6495,0.003728571477777255,14311
Jayden,6482,0.0037211085941419807,14311
Carter,6349,0.0036447575538734087,14311
Santiago,6033,0.0034633520747390572,14311
Ezekiel,6030,0.003461629870823225,14311